#type,time,ch,ticks,l,fL,v,fV,f,fF,o,scale,en,fEn,vDiff,vCnt,oDiff,envlp,envlpIndex,nE,nF,offset,data,wtblIndex,f1Ctrl,f2Ctrl,vCtrl,enCtrl
vCtrl,3.4005442176871177,0,205,,,,,,,,,1,,,,,,,,,31,64,1,80,3,13,31
vCtrl,3.4172562358277077,0,206,,,,,,,,,1,,,,,,,,,31,64,1,80,3,12,31
vCtrl,3.433945578231336,0,207,,,,,,,,,1,,,,,,,,,31,64,1,80,3,11,31
vCtrl,3.4506349206349647,0,208,,,,,,,,,1,,,,,,,,,31,64,1,80,3,10,31
f1Ctrl,3.469092970521586,0,209,,,,,,,,,1,,,,,,,,,31,64,1,160,3,10,31
f2Ctrl,3.469138321995509,0,209,,,,,,,,,1,,,,,,,,,31,64,1,160,6,10,31
vCtrl,3.4696145124716997,0,209,,,,,,,,,1,,,,,,,,,31,64,1,160,6,15,31
vCtrl,3.484829931972834,0,210,,,,,,,,,1,,,,,,,,,31,64,1,160,6,14,31
vCtrl,3.501043083900272,0,211,,,,,,,,,1,,,,,,,,,31,64,1,160,6,13,31
vCtrl,3.517800453514785,0,212,,,,,,,,,1,,,,,,,,,31,64,1,160,6,12,31
vCtrl,3.5344444444444907,0,213,,,,,,,,,1,,,,,,,,,31,64,1,160,6,11,31
vCtrl,3.5512018140590036,0,214,,,,,,,,,1,,,,,,,,,31,64,1,160,6,10,31
f1Ctrl,3.568072562358324,0,215,,,,,,,,,1,,,,,,,,,31,64,1,80,6,10,31
f2Ctrl,3.5681179138322467,0,215,,,,,,,,,1,,,,,,,,,31,64,1,80,3,10,31
vCtrl,3.5684580498866687,0,215,,,,,,,,,1,,,,,,,,,31,64,1,80,3,15,31
vCtrl,3.584535147392338,0,216,,,,,,,,,1,,,,,,,,,31,64,1,80,3,14,31
vCtrl,3.6014058956916584,0,217,,,,,,,,,1,,,,,,,,,31,64,1,80,3,13,31
vCtrl,3.61814058956921,0,218,,,,,,,,,1,,,,,,,,,31,64,1,80,3,12,31
vCtrl,3.6346938775510695,0,219,,,,,,,,,1,,,,,,,,,31,64,1,80,3,11,31
vCtrl,3.6514058956916595,0,220,,,,,,,,,1,,,,,,,,,31,64,1,80,3,10,31
f1Ctrl,3.6687074829932476,0,221,,,,,,,,,1,,,,,,,,,31,64,1,160,3,10,31
f2Ctrl,3.6687528344671705,0,221,,,,,,,,,1,,,,,,,,,31,64,1,160,6,10,31
